City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
344,Matadi,-5.8167,13.45,75.92,91,100,1.54,overcast clouds
345,Hasaki,35.7333,140.8333,44.89,60,100,7.38,overcast clouds
346,Voiron,45.3639,5.5921,44.51,77,100,1.99,overcast clouds
347,Axim,4.8699,-2.2405,78.35,86,97,5.48,overcast clouds
348,Manoharpur,27.3,75.95,50.95,47,0,3.18,clear sky
349,Biggar,55.6167,-3.5167,45.12,91,100,12.03,overcast clouds
350,Cooma,-36.2333,149.1333,74.75,39,0,4.12,clear sky
351,Northam,51.0333,-4.2167,50.02,95,100,20.51,overcast clouds
352,Conceicao Do Araguaia,-8.2578,-49.2647,73.62,96,100,3.6,light rain
353,Pitimbu,-7.4706,-34.8086,81.19,78,31,9.75,scattered clouds
354,Mount Gambier,-37.8333,140.7667,83.26,22,100,9.33,overcast clouds
355,Badarpur,24.9,92.6,54.41,78,0,3.58,clear sky
356,Clyde River,70.4692,-68.5914,-14.57,76,100,34.52,snow
357,Airai,-8.9266,125.4092,69.82,70,91,2.89,overcast clouds
358,Atambua,-9.1061,124.8925,79.99,74,95,2.86,overcast clouds
359,Aksaray,38.3726,34.0254,24.39,78,100,4.09,overcast clouds
360,Nanortalik,60.1432,-45.2371,29.32,97,100,10.18,snow
361,Kalabo,-14.97,22.6814,66.0,94,99,4.14,light rain
362,Iquitos,-3.7481,-73.2472,77.04,94,40,3.44,scattered clouds
363,Tiznit,29.5833,-9.5,56.57,49,8,3.51,clear sky
364,Rio Grande,-32.035,-52.0986,72.95,86,100,13.27,light rain
365,Russell,32.3502,-85.1999,60.08,71,0,3.44,clear sky
366,Biak,-0.9131,122.8766,76.41,87,100,4.18,moderate rain
367,Nahrin,36.0649,69.1334,36.91,89,100,1.25,overcast clouds
368,Pangnirtung,66.1451,-65.7125,-22.09,99,100,5.17,overcast clouds
369,Tecoanapa,16.5167,-98.75,78.91,62,27,6.85,scattered clouds
370,Smiltene,57.4244,25.9016,32.56,78,100,11.79,overcast clouds
371,Bulawayo,-20.15,28.5833,60.19,59,13,8.16,few clouds
372,Ayan,56.45,138.1667,-1.19,70,21,5.97,few clouds
